+-----------+-------------+-------------+-------------+-------------+-------------+
|  JIRA_ID  |   VCA-5.2   |  VCA-master |   VCA-4.0   |   VCA-5.1   |   VCA-5.0   |
| VRS-11885 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-12107 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12106 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12105 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12104 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12101 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12539 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-12537 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-12534 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12535 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-12532 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-12530 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-12108 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-12143 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12219 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-12218 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12212 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-12056 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12217 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-12216 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12215 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12214 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12623 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12620 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12588 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-12626 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-12624 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-12197 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12198 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12581 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-12585 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12148 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12446 | Needs merge | Needs merge | Needs merge |      -      |      -      |
| VRS-12447 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12445 | Needs merge | Needs merge | Needs merge |      -      |      -      |
| VRS-12448 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12449 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-11922 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-11924 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-11926 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-11929 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-12068 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12069 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12140 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12147 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12146 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12145 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12144 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12149 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12063 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12064 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12066 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12067 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12269 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12095 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12094 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12096 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12091 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12090 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12541 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-12092 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-12482 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-12483 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-12329 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-12481 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12485 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-12322 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-12321 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12320 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-12327 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12326 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12324 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-12241 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-12243 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-12245 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-12247 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12248 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-11969 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-11966 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-11967 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-11963 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-12025 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-12027 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12021 |      -      | Needs merge | Needs merge |      -      |      -      |
| VRS-12028 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12029 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-11919 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-11911 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-11914 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-11917 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-11916 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12598 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12599 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-12293 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12119 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12291 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-12110 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12111 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12298 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12114 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12115 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12116 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12117 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-12501 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12055 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12054 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12057 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12504 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-12508 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-12593 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12547 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12208 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-12204 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12205 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12206 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12207 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12201 |      -      | Needs merge | Needs merge |      -      |      -      |
| VRS-12203 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12617 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12615 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-12613 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-12612 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12611 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12594 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12595 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12596 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12591 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-12618 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-12479 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-12478 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12471 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-12100 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12476 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-12474 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-12278 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-12270 | Needs merge | Needs merge | Needs merge |      -      |      -      |
| VRS-12272 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-12274 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-11893 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-11955 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-11956 |      -      | Needs merge | Needs merge |      -      | Needs merge |
| VRS-11951 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-11953 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-11959 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-12155 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12156 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12157 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12150 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12151 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-12153 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-12014 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-12016 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-12158 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12010 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12121 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12120 |      -      | Needs merge |      -      |      -      |      -      |
